,Date,Name,Text,Hashtags
0,2020-06-10 17:42:40+00:00,BBCNews,Reni Eddo-Lodge breaks book chart record amid BLM protests ,
1,2020-07-25 13:59:02+00:00,TheEconomist,They are planning BLM style protests in Westminster and hope to secure a place for gypsy history on the school curriculum ,
2,2020-06-20 11:28:01+00:00,TheEconomist,Many young activists ignored BLM UK’s advice not to gather in large groups because of the threat from covid-19 ,
3,2020-05-25 16:00:13+00:00,TheEconomist,"“The general public has become a bit exhausted,” says a co-founder of BLM’s Los Angeles chapter ",
4,2020-06-20 21:05:06+00:00,Reuters,Leader of London BLM protests demands meeting with Johnson https://reut.rs/2Ykpm1a,
5,2020-06-20 17:45:02+00:00,Reuters,Leader of London BLM protests demands meeting with Johnson https://reut.rs/2Yk9s6K,
6,2020-06-20 14:40:01+00:00,Reuters,Leader of London BLM protests demands meeting with Johnson https://reut.rs/30ZW75p,
7,2020-06-12 09:04:39+00:00,Reuters,England may join Windies in potential BLM protest - Anderson https://reut.rs/2MSU0b6,
8,2020-06-12 06:02:48+00:00,Reuters,England may join Windies in potential BLM protest - Anderson https://reut.rs/30zJWvZ,
9,2020-06-11 09:29:11+00:00,Reuters,Motor racing: McLaren's Norris loses followers for support of BLM protests https://reut.rs/3dTxw5J,
10,2020-07-29 20:59:30+00:00,guardian,"Guardian front page, Thursday 30 July 2020: Young, British and Black – voices of the BLM generation ",
11,2020-07-29 10:25:43+00:00,guardian,"‘I want to stand up to Trump’: Portland protesters unleash fury over BLM, Covid-19 and economy ",
12,2020-07-23 21:43:37+00:00,guardian,"NSW police chief undermined legal challenge to BLM protest planned for Sydney, organisers say ",
13,2020-07-22 18:55:37+00:00,guardian,'Wall of Moms' protect Portland's BLM protesters – video ,
14,2020-07-11 19:56:50+00:00,guardian,Thousands march through Brighton to support BLM movement ,
15,2020-06-30 11:02:02+00:00,guardian,Police tell woman to cover up anti-Boris Johnson T-shirt during BLM protest – video ,
16,2020-06-30 06:15:35+00:00,guardian,Australian journalist tells US inquiry she was beaten by police at BLM protest ,
17,2020-06-29 11:23:26+00:00,guardian,Beyoncé and Alicia Keys pay tribute to BLM movement at 2020 BET Awards – video highlights ,
18,2020-06-18 14:07:04+00:00,guardian,BLM protests prompt Edinburgh to reassess fate of golliwog mural ,
19,2020-06-15 21:55:27+00:00,guardian,Dean Smith says he fully supports Tyrone Mings going on BLM march ,
20,2020-06-15 18:25:25+00:00,guardian,BLM 'band of brothers' hope rescue of counter-protester sends message ,
21,2020-06-14 19:25:35+00:00,guardian,BLM supporter speaks out after carrying counter-protester to safety ,
22,2020-06-13 09:06:52+00:00,guardian,UK news live: Patel warns of health and legal risks at BLM protests ,
23,2020-06-13 00:21:40+00:00,guardian,Coronavirus live news: Fauci warns against Trump rallies; health fears in Australia over BLM protests ,
24,2020-06-12 23:24:43+00:00,guardian,"BLM protesters must disperse by 5pm Saturday, police warn ",
25,2020-06-12 18:46:29+00:00,guardian,Boris Johnson 'stoking fear and division' ahead of BLM protests ,
26,2020-06-12 12:43:25+00:00,guardian,Capturing the cry for change: photographers on the BLM protests ,
27,2020-06-11 18:47:18+00:00,guardian,BLM organisers call off London event to prevent clashes with far right ,
28,2020-06-10 14:24:09+00:00,guardian,Online influencers under fire for blacking up in support of BLM ,
29,2020-06-10 13:53:45+00:00,guardian,Black British authors top UK book charts in wake of BLM protests ,
30,2020-06-09 06:48:23+00:00,guardian,Japan's public broadcaster condemned over 'offensive' BLM anime ,
31,2020-06-08 20:44:31+00:00,guardian,London mayor seeks to defuse tensions ahead of more BLM protests ,
32,2020-06-08 17:37:33+00:00,guardian,Britain's urban fabric comes under spotlight shone by BLM protests ,
33,2020-06-07 22:05:05+00:00,guardian,Coronavirus Australia live updates: states face pressure to lift restrictions after weekend BLM protests – latest news ,
34,2020-06-07 16:30:14+00:00,guardian,BLM protesters topple statue of Bristol slave trader Edward Colston ,
35,2020-06-07 12:07:40+00:00,guardian,BLM protests and public denouncements: best photographs of the weekend ,
36,2020-06-07 00:27:24+00:00,guardian,"Coronavirus: UK to partly reopen churches, Australia BLM protests defy health pleas – live updates ",
37,2020-07-31 22:44:06+00:00,realDailyWire,"WATCH: Tyler Perry Says We Need More Police, Fears BLM Message Being ‘Hijacked’ http://dlvr.it/Rcmf5m",
38,2020-07-29 19:54:32+00:00,realDailyWire,Sheriff To Library Allegedly Ready To Support BLM: Please Don’t ‘Feel The Need To Call 911 For Help’ http://dlvr.it/Rcd0GD,
39,2020-07-29 06:00:34+00:00,realDailyWire,"BLM Takes On The DNC, Tells Dems Party Platform Needs To Be More Radical http://dlvr.it/RcZR4S",
40,2020-07-29 00:18:32+00:00,realDailyWire,Confederate Cemetery In Arkansas Adding Surveillance After Graves Vandalized With BLM Graffiti http://dlvr.it/RcYpTz,
41,2020-07-28 20:26:35+00:00,realDailyWire,"BLM Takes On The DNC, Tells Dems Party Platform Needs To Be More Radical http://dlvr.it/RcYJ3t",
42,2020-07-28 18:16:04+00:00,realDailyWire, Young Mother Murdered In Horrific Video. BLM and Antifa Ignore It | The Matt Walsh Show Ep. 530 ,
43,2020-07-28 05:03:03+00:00,realDailyWire,Jussie Smollett Attends BLM Protest Outside Trump Tower http://dlvr.it/RcVXQJ,
44,2020-07-27 22:04:02+00:00,realDailyWire,Jussie Smollett Attends BLM Protest Outside Trump Tower http://dlvr.it/RcTl4b,
